,column1,Column2,Column3
0,"
				List of Revoked Certificates of Authority to Operate as a Lending Company (Secondary License)			",,
1,,Z.C. BUEN MANO LENDING CORPORATION,16-Jul-19
2,,MOOLA LENDING CORPORATION (FORMERLY: H LENDING BY HOVONO INC.)** • CGFD Order: 169 MOOLA LENDING CORPORATION,"
23-May-19
01-Aug-19
"
3,"
				List of Revoked Certificates of Registration (Primary License)			",,
4,,15/30 LENDING INVESTORS INC.,06-Jul-17
5,,ACTIVE LENDING CORP.,06-Jul-17
6,,AGM LENDING INVESTORS & CREDIT INC.,06-Jul-17
7,,ALCOR LENDING INVESTOR CORP.,06-Jul-17
8,,ALJAHAZ CONSUMER LENDING INC.,06-Jul-17
9,,"ALPINE LENDING INVESTOR, INC.",06-Jul-17
10,,AMGAR LENDING CORP.,06-Jul-17
11,,AMIANAN LENDING CORP.,06-Jul-17
12,,"ANVEL LENDING INVESTORS, INC.",06-Jul-17
13,,"AREMAR LENDING INVESTORS, INC.",06-Jul-17
14,,AUXILLIARY LENDING CORP.,06-Jul-17
15,,BALASAN LENDING CORP.,06-Jul-17
16,,BANATE LENDING SVCS. INC.,06-Jul-17
17,,BATINGAW LENDING CORP.,06-Jul-17
18,,BESTLAND LENDING CORP.,06-Jul-17
19,,BINALONAN LENDING INVESTORS CORP.,06-Jul-17
20,,BRASILIA LENDING CORP.,06-Jul-17
21,,BROTHERLY LENDING CORP.,06-Jul-17
22,,CARINO ABERIN & CAPILI LENDING INVESTORS CORP.,06-Jul-17
23,,CEBU ATLAS LENDING INVESTORS CORP.,06-Jul-17
24,,CEBU VIGOR LENDING INVESTORS CORP.,06-Jul-17
25,,CFA LENDING SVCS. INC.,06-Jul-17
26,,CYRENEAN LENDING INVESTORS CORP.,06-Jul-17
27,,DAVAO GLITTERS MX’N GOLD LENDING INC.,06-Jul-17
28,,"DE ORO LENDING FACILITIES, INC.",06-Jul-17
29,,DOMINI LENDING INVESTOR INC.,06-Jul-17
